date,open,high,low,close,volume
2022-02-18,9336.55,9390.5,9279.2,9293.55,0
2022-02-21,9234.3,9244.4,9037.9,9052.95,0
2022-02-22,8784.4,8917,8773.4,8877.55,0
2022-02-23,8961.55,9066.4,8960.1,8982.9,0
2022-02-24,8659.45,8747.85,8428.3,8454.95,0
2022-02-25,8645.25,8839.1,8643.85,8815.2,0
2022-02-28,8744,8898.75,8620.25,8887.65,0
2022-03-02,8823.95,8964.75,8811.55,8911.1,0
2022-03-03,9026.05,9078.05,8929.3,8945.3,0
2022-03-04,8892.25,8921.5,8785.25,8804.1,0
2022-03-07,8634.15,8651.35,8526.3,8599.35,0
2022-03-08,8621.45,8745.15,8566.1,8717.05,0
2022-03-09,8812.4,8921.05,8786.3,8899.85,0
2022-03-10,9104.75,9121.05,8982,9025.4,0
2022-03-11,9033.95,9142.65,9005,9105.9,0
2022-03-14,9142.25,9165.65,9062,9143.55,0
2022-03-15,9197.45,9220.3,9034.95,9067.95,0
2022-03-16,9182.3,9206.85,9139.25,9168.55,0
2022-03-17,9282.8,9300.4,9262,9276.95,0
2022-03-21,9340.8,9372.55,9283.4,9301.5,0
2022-03-22,9339.75,9344,9265.35,9330.35,0
2022-03-23,9401.75,9426.2,9300.65,9316.45,0
2022-03-24,9306.55,9365.55,9298.15,9347.7,0
2022-03-25,9408.75,9425.4,9299.6,9311.1,0
2022-03-28,9362.2,9371.6,9212.95,9256.45,0
2022-03-29,9304.1,9335.05,9277.7,9312.05,0
2022-03-30,9391.4,9439.75,9377.6,9396.5,0
2022-03-31,9439.2,9485.95,9424.85,9441.45,0
2022-04-01,9468.75,9626.4,9462,9620.15,0
2022-04-04,9689,9772.4,9686.95,9766.85,0
2022-04-05,9836.2,9905.15,9806.25,9860.05,0
2022-04-06,9849.2,9945.45,9825,9902,0
2022-04-07,9937.85,9995.85,9831.05,9859.2,0
2022-04-08,9927.25,9966.95,9891.3,9934.75,0
2022-04-11,9972.75,10017.25,9952,9966.55,0
2022-04-12,9972.5,9972.5,9747.15,9825.2,0
2022-04-13,9901.75,9934.75,9849.25,9857.95,0
2022-04-18,9812.6,9812.6,9712.4,9770.8,0
2022-04-19,9834.9,9883.85,9533.65,9620.7,0
2022-04-20,9678.5,9755.85,9608.2,9622.75,0
2022-04-21,9709.95,9765.35,9709.4,9744.85,0
2022-04-22,9710.1,9810.4,9691.85,9720.3,0
2022-04-25,9649.45,9653.1,9511.4,9526.05,0
2022-04-26,9623.75,9660.85,9583.95,9623.75,0
2022-04-27,9559.85,9600.1,9477.35,9568.55,0
2022-04-28,9643.05,9658.95,9514.95,9593.75,0
2022-04-29,9645.65,9667.4,9471.55,9493.3,0
2022-05-02,9413.15,9436.5,9337.05,9397.75,0
2022-05-04,9442.4,9477.85,9150.55,9183.4,0
2022-05-05,9287.7,9302.35,9114.55,9126.7,0
2022-05-06,8957.9,8966.6,8852.4,8919.45,0
2022-05-09,8858.3,8868.75,8700.3,8748.95,0
2022-05-10,8732.9,8858.3,8546.9,8569.1,0
2022-05-11,8603.95,8639.85,8188.3,8340.65,0
2022-05-12,8255.9,8262.5,8128.3,8202.15,0
2022-05-13,8329.1,8428.2,8266.9,8286.2,0
2022-05-16,8356.75,8416.1,8250.3,8396.8,0
2022-05-17,8470.7,8649.35,8435.4,8638.1,0
2022-05-18,8693.3,8758.7,8623.4,8667.2,0
2022-05-19,8457.95,8547.6,8416.3,8473.6,0
2022-05-20,8598.8,8666.15,8574.6,8654.55,0
2022-05-23,8697.65,8711.6,8581.6,8594.1,0
2022-05-24,8627.95,8646.25,8473.05,8488.6,0
2022-05-25,8523.2,8541.5,8227.1,8233.7,0
2022-05-26,8267.85,8323.55,8065.95,8311.8,0
2022-05-27,8399.9,8439.65,8344.35,8397.35,0
2022-05-30,8503.35,8592.75,8483.7,8585.5,0
2022-05-31,8596.7,8705.6,8565.25,8673.1,0
2022-06-01,8714.3,8778.6,8671.9,8730.65,0
2022-06-02,8729.4,8781.55,8713.8,8772.9,0
2022-06-03,8855.2,8874.3,8683.05,8696.35,0
2022-06-06,8688.05,8695.9,8553.35,8640.9,0
2022-06-07,8609.1,8636.75,8553.1,8592.5,0
2022-06-08,8626.1,8659.35,8538.2,8577.6,0
2022-06-09,8541.7,8589.85,8521.05,8582.15,0
2022-06-10,8508.55,8544.95,8493.95,8506.9,0
2022-06-13,8351.05,8353.8,8195,8205.65,0
2022-06-14,8152.45,8283.85,8151.9,8172.05,0
2022-06-15,8218.3,8253.4,8199.9,8217.8,0
2022-06-16,8309.5,8332.7,7953.65,7965.9,0
2022-06-17,7928.75,7977.85,7813.2,7902.75,0
2022-06-20,7910.2,7928.7,7598.05,7657.25,0
2022-06-21,7720.65,7911,7720.3,7893.4,0
2022-06-22,7876.15,7881.1,7794.95,7810.9,0
2022-06-23,7833.95,7915.3,7811.4,7899.9,0
2022-06-24,7964.5,8047.85,7963.6,8036.8,0
2022-06-27,8142,8181.15,8119.35,8165.6,0
2022-06-28,8148.5,8165.8,8090.2,8159.2,0
2022-06-29,8085.3,8157.9,8072.65,8114.6,0
2022-06-30,8131.45,8182.5,8073.2,8088.6,0
2022-07-01,8080.4,8115.15,7998.15,8105.5,0
2022-07-04,8127.55,8166.1,8113.65,8145.7,0
2022-07-05,8184.5,8255.05,8155.05,8166.8,0
2022-07-06,8184.75,8216.05,8102.5,8210.1,0
2022-07-07,8277.65,8325,8258.5,8317.45,0
2022-07-08,8372.2,8382.25,8321.9,8336.8,0
2022-07-11,8328.15,8427.7,8315.6,8423.3,0
2022-07-12,8410,8452.85,8381,8392.4,0
2022-07-13,8438.65,8461.65,8396.35,8410.35,0
2022-07-14,8425.2,8434.5,8313.25,8349.6,0
2022-07-15,8369.55,8395.15,8317.75,8389.35,0
2022-07-18,8453.3,8520.9,8451.55,8511.7,0
2022-07-19,8506.9,8590.8,8495.3,8583.3,0
2022-07-20,8661.9,8692.7,8619.55,8635.05,0
2022-07-21,8662.45,8710.45,8636.45,8703.65,0
2022-07-22,8744.3,8753.2,8698.35,8727.65,0
2022-07-25,8732.9,8742.8,8656.45,8691.85,0
2022-07-26,8696.65,8701.5,8588.35,8602.75,0
2022-07-27,8590.6,8612.05,8558.5,8602.25,0
2022-07-28,8656.55,8676.9,8633.15,8667.5,0
2022-07-29,8726.25,8802.95,8721.05,8790.55,0
2022-08-01,8846.05,8944.7,8806.7,8935.05,0
